Date,Province,City or Regency,New Cases,New Deaths,New Recovered,Total Cases,Total Deaths,Total Recovered,Case Fatality Rate,Case Recovered Rate,Population
3/1/2020,DKI Jakarta,,2,0,0,39,20,75,51.28%,192.31%,10846145
3/2/2020,DKI Jakarta,,2,0,0,41,20,75,48.78%,182.93%,10846145
3/2/2020,,,2,0,0,2,0,0,0.00%,0.00%,265185520
3/2/2020,Riau,,1,0,0,1,0,1,0.00%,100.00%,6074100
3/3/2020,DKI Jakarta,,2,0,0,43,20,75,46.51%,174.42%,10846145
3/3/2020,,,0,0,0,2,0,0,0.00%,0.00%,265185520
3/3/2020,Jawa Barat,,1,1,0,1,1,60,100.00%,6000.00%,45161325
3/3/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/4/2020,DKI Jakarta,,2,0,0,45,20,75,44.44%,166.67%,10846145
3/4/2020,,,0,0,0,2,0,0,0.00%,0.00%,265185520
3/4/2020,Jawa Barat,,1,0,0,2,1,60,50.00%,3000.00%,45161325
3/4/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/5/2020,DKI Jakarta,,0,1,0,45,21,75,46.67%,166.67%,10846145
3/5/2020,,,0,0,0,2,0,0,0.00%,0.00%,265185520
3/5/2020,Jawa Barat,,1,0,0,3,1,60,33.33%,2000.00%,45161325
3/5/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/6/2020,Banten,,1,0,1,1,5,111,500.00%,11100.00%,10722374
3/6/2020,DKI Jakarta,,0,0,0,45,21,75,46.67%,166.67%,10846145
3/6/2020,,,2,0,0,4,0,0,0.00%,0.00%,265185520
3/6/2020,Jawa Barat,,1,0,0,4,1,60,25.00%,1500.00%,45161325
3/6/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/7/2020,Banten,,0,0,0,1,5,111,500.00%,11100.00%,10722374
3/7/2020,DKI Jakarta,,0,2,0,45,23,75,51.11%,166.67%,10846145
3/7/2020,,,0,0,0,4,0,0,0.00%,0.00%,265185520
3/7/2020,Jawa Barat,,0,0,0,4,1,60,25.00%,1500.00%,45161325
3/7/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/8/2020,Banten,,1,0,3,2,5,114,250.00%,5700.00%,10722374
3/8/2020,DKI Jakarta,,0,0,0,45,23,75,51.11%,166.67%,10846145
3/8/2020,,,2,0,0,6,0,0,0.00%,0.00%,265185520
3/8/2020,Jawa Barat,,0,0,0,4,1,60,25.00%,1500.00%,45161325
3/8/2020,Jawa Tengah,,1,1,0,1,10,11,1000.00%,1100.00%,36364072
3/8/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/9/2020,Banten,,0,0,0,2,5,114,250.00%,5700.00%,10722374
3/9/2020,DKI Jakarta,,0,1,0,45,24,75,53.33%,166.67%,10846145
3/9/2020,,,13,0,0,19,0,0,0.00%,0.00%,265185520
3/9/2020,Jawa Barat,,0,0,0,4,1,60,25.00%,1500.00%,45161325
3/9/2020,Jawa Tengah,,0,0,0,1,10,11,1000.00%,1100.00%,36364072
3/9/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/10/2020,Banten,,0,0,8,2,5,122,250.00%,6100.00%,10722374
3/10/2020,DKI Jakarta,,0,0,0,45,24,75,53.33%,166.67%,10846145
3/10/2020,,,8,0,2,27,0,2,0.00%,7.41%,265185520
3/10/2020,Jawa Barat,,0,0,0,4,1,60,25.00%,1500.00%,45161325
3/10/2020,Jawa Tengah,,0,0,0,1,10,11,1000.00%,1100.00%,36364072
3/10/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/10/2020,Sulawesi Tenggara,,1,0,0,1,0,0,0.00%,0.00%,2635461
3/11/2020,Bali,,1,1,0,1,1,3,100.00%,300.00%,4216171
3/11/2020,Banten,,0,0,8,2,5,130,250.00%,6500.00%,10722374
3/11/2020,DKI Jakarta,,0,0,0,45,24,75,53.33%,166.67%,10846145
3/11/2020,,,7,1,0,34,1,2,2.94%,5.88%,265185520
3/11/2020,Jawa Barat,,0,1,0,4,2,60,50.00%,1500.00%,45161325
3/11/2020,Jawa Tengah,,2,1,1,3,11,12,366.67%,400.00%,36364072
3/11/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/11/2020,Sulawesi Tenggara,,0,0,0,1,0,0,0.00%,0.00%,2635461
3/12/2020,Bali,,0,0,0,1,1,3,100.00%,300.00%,4216171
3/12/2020,Banten,,0,1,2,2,6,132,300.00%,6600.00%,10722374
3/12/2020,DKI Jakarta,,2,1,4,47,25,79,53.19%,168.09%,10846145
3/12/2020,,,0,0,0,34,1,2,2.94%,5.88%,265185520
3/12/2020,Jawa Barat,,1,0,0,5,2,60,40.00%,1200.00%,45161325
3/12/2020,Jawa Tengah,,0,0,0,3,11,12,366.67%,400.00%,36364072
3/12/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/12/2020,Sulawesi Tenggara,,0,0,0,1,0,0,0.00%,0.00%,2635461
3/13/2020,Bali,,0,0,0,1,1,3,100.00%,300.00%,4216171
3/13/2020,Banten,,1,1,0,3,7,132,233.33%,4400.00%,10722374
3/13/2020,DKI Jakarta,,4,1,3,51,26,82,50.98%,160.78%,10846145
3/13/2020,,,35,3,0,69,4,2,5.80%,2.90%,265185520
3/13/2020,Jawa Barat,,4,0,1,9,2,61,22.22%,677.78%,45161325
3/13/2020,Jawa Tengah,,0,0,0,3,11,12,366.67%,400.00%,36364072
3/13/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/13/2020,Sulawesi Tenggara,,0,0,0,1,0,0,0.00%,0.00%,2635461
3/14/2020,Bali,,0,0,0,1,1,3,100.00%,300.00%,4216171
3/14/2020,Banten,,1,0,2,4,7,134,175.00%,3350.00%,10722374
3/14/2020,DKI Jakarta,,2,1,1,53,27,83,50.94%,156.60%,10846145
3/14/2020,,,27,1,6,96,5,8,5.21%,8.33%,265185520
3/14/2020,Jawa Barat,,0,0,0,9,2,61,22.22%,677.78%,45161325
3/14/2020,Jawa Tengah,,2,0,1,5,11,13,220.00%,260.00%,36364072
3/14/2020,Kalimantan Timur,,3,0,0,3,0,3,0.00%,100.00%,3552191
3/14/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/14/2020,Sulawesi Tenggara,,0,0,0,1,0,0,0.00%,0.00%,2635461
3/15/2020,Bali,,0,0,0,1,1,3,100.00%,300.00%,4216171
3/15/2020,Banten,,1,0,5,5,7,139,140.00%,2780.00%,10722374
3/15/2020,DKI Jakarta,,8,3,0,61,30,83,49.18%,136.07%,10846145
3/15/2020,,,21,0,0,117,5,8,4.27%,6.84%,265185520
3/15/2020,Jawa Barat,,0,0,2,9,2,63,22.22%,700.00%,45161325
3/15/2020,Jawa Tengah,,1,0,1,6,11,14,183.33%,233.33%,36364072
3/15/2020,Kalimantan Timur,,2,0,0,5,0,3,0.00%,60.00%,3552191
3/15/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/15/2020,Sulawesi Tenggara,,0,0,0,1,0,0,0.00%,0.00%,2635461
3/16/2020,Bali,,0,0,0,1,1,3,100.00%,300.00%,4216171
3/16/2020,Banten,,1,0,4,6,7,143,116.67%,2383.33%,10722374
3/16/2020,DKI Jakarta,,2,3,0,63,33,83,52.38%,131.75%,10846145
3/16/2020,Daerah Istimewa Yogyakarta,,1,0,0,1,0,2,0.00%,200.00%,3631015
3/16/2020,,,17,0,0,134,5,8,3.73%,5.97%,265185520
3/16/2020,Jawa Barat,,0,0,2,9,2,65,22.22%,722.22%,45161325
3/16/2020,Jawa Tengah,,1,0,0,7,11,14,157.14%,200.00%,36364072
3/16/2020,Kalimantan Timur,,1,0,0,6,0,3,0.00%,50.00%,3552191
3/16/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/16/2020,Sulawesi Tenggara,,2,0,0,3,0,0,0.00%,0.00%,2635461
3/17/2020,Bali,,0,0,0,1,1,3,100.00%,300.00%,4216171
3/17/2020,Banten,,0,1,3,6,8,146,133.33%,2433.33%,10722374
3/17/2020,DKI Jakarta,,2,1,0,65,34,83,52.31%,127.69%,10846145
3/17/2020,Daerah Istimewa Yogyakarta,,0,0,0,1,0,2,0.00%,200.00%,3631015
3/17/2020,,,38,0,1,172,5,9,2.91%,5.23%,265185520
3/17/2020,Jawa Barat,,11,0,0,20,2,65,10.00%,325.00%,45161325
3/17/2020,Jawa Tengah,,1,0,1,8,11,15,137.50%,187.50%,36364072
3/17/2020,Kalimantan Timur,,1,0,0,7,0,3,0.00%,42.86%,3552191
3/17/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/17/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/17/2020,Sumatera Utara,,1,1,0,1,1,10,100.00%,1000.00%,14874889
3/18/2020,Bali,,0,0,0,1,1,3,100.00%,300.00%,4216171
3/18/2020,Banten,,0,1,1,6,9,147,150.00%,2450.00%,10722374
3/18/2020,DKI Jakarta,,1,1,0,66,35,83,53.03%,125.76%,10846145
3/18/2020,Daerah Istimewa Yogyakarta,,0,0,0,1,0,2,0.00%,200.00%,3631015
3/18/2020,,,55,14,2,227,19,11,8.37%,4.85%,265185520
3/18/2020,Jawa Barat,,4,1,2,24,3,67,12.50%,279.17%,45161325
3/18/2020,Jawa Tengah,,3,1,0,11,12,15,109.09%,136.36%,36364072
3/18/2020,Jawa Timur,,7,1,0,18,33,337,183.33%,1872.22%,40479023
3/18/2020,Kalimantan Timur,,0,0,0,7,0,3,0.00%,42.86%,3552191
3/18/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/18/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/18/2020,Sumatera Utara,,0,0,0,1,1,10,100.00%,1000.00%,14874889
3/19/2020,Bali,,1,1,0,2,2,3,100.00%,150.00%,4216171
3/19/2020,Banten,,0,1,3,6,10,150,166.67%,2500.00%,10722374
3/19/2020,DKI Jakarta,,2,0,1,68,35,84,51.47%,123.53%,10846145
3/19/2020,Daerah Istimewa Yogyakarta,,0,0,0,1,0,2,0.00%,200.00%,3631015
3/19/2020,,,82,6,4,309,25,15,8.09%,4.85%,265185520
3/19/2020,Jawa Barat,,5,1,1,29,4,68,13.79%,234.48%,45161325
3/19/2020,Jawa Tengah,,2,0,0,13,12,15,92.31%,115.38%,36364072
3/19/2020,Jawa Timur,,3,0,0,21,33,337,157.14%,1604.76%,40479023
3/19/2020,Kalimantan Timur,,0,0,0,7,0,3,0.00%,42.86%,3552191
3/19/2020,Kepulauan Riau,,1,1,0,1,1,0,100.00%,0.00%,1929400
3/19/2020,Riau,,0,0,0,1,0,1,0.00%,100.00%,6074100
3/19/2020,Sulawesi Selatan,,2,0,0,2,0,5,0.00%,250.00%,9426885
3/19/2020,Sulawesi Tenggara,,0,0,0,3,0,0,0.00%,0.00%,2635461
3/19/2020,Sumatera Utara,,0,0,0,1,1,10,100.00%,1000.00%,14874889
3/20/2020,Bali,,0,0,0,2,2,3,100.00%,150.00%,4216171
3/20/2020,Banten,,0,3,3,6,13,153,216.67%,2550.00%,10722374
3/20/2020,DKI Jakarta,,5,3,1,73,38,85,52.05%,116.44%,10846145
3/20/2020,Daerah Istimewa Yogyakarta,,1,0,1,2,0,3,0.00%,150.00%,3631015
3/20/2020,,,60,7,2,369,32,17,8.67%,4.61%,265185520
3/20/2020,Jambi,,1,0,0,1,0,4,0.00%,400.00%,3493357
3/20/2020,Jawa Barat,,16,4,0,45,8,68,17.78%,151.11%,45161325
3/20/2020,Jawa Tengah,,4,0,1,17,12,16,70.59%,94.12%,36364072
3/20/2020,Jawa Timur,,9,0,0,30,33,337,110.00%,1123.33%,40479023
3/20/2020,Kalimantan Timur,,0,0,0,7,0,3,0.00%,42.86%,3552191
